Elementos,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%,101%
2000,0.012723,0.020307,0.018406,0.014148,0.015967,0.009376,0.009270,0.010540,0.009291,0.010734,0.009354,0.009574,0.010466,0.008508,0.009776,0.009245,0.009142,0.008486,0.009571,0.009165,0.010628,0.008726,0.009075,0.008416,0.007992,0.008592,0.008973,0.008745,0.008492,0.008598,0.008951,0.008528,0.008603,0.008500,0.008170,0.008059,0.007727,0.007451,0.008989,0.014687,0.008201,0.008221,0.008069,0.007867,0.007812,0.008090,0.007738,0.007844,0.007933,0.007129,0.007091,0.006304,0.006940,0.006153,0.006202,0.005954,0.005834,0.005853,0.005960,0.005954,0.006029,0.005613,0.005620,0.005149,0.005178,0.004959,0.005385,0.005025,0.004690,0.004629,0.004419,0.004830,0.004819,0.004658,0.003949,0.003878,0.004306,0.004124,0.003792,0.003421,0.003232,0.003167,0.003023,0.002835,0.003130,0.002953,0.002510,0.002385,0.002165,0.002103,0.001890,0.001705,0.001587,0.001642,0.001257,0.001105,0.000950,0.000801,0.000641,0.000557,0.000415,0.013465
2500,0.014293,0.013384,0.013247,0.013736,0.014152,0.013112,0.014694,0.013413,0.013522,0.014177,0.013274,0.015154,0.014115,0.013977,0.021289,0.014442,0.013527,0.013045,0.013956,0.013616,0.014122,0.013116,0.012420,0.012498,0.012863,0.013466,0.012549,0.013608,0.013149,0.013082,0.013547,0.012413,0.014093,0.012543,0.012212,0.013276,0.012665,0.011484,0.012492,0.011195,0.012023,0.010932,0.012688,0.011518,0.010903,0.011735,0.011067,0.010271,0.011058,0.011262,0.010464,0.010327,0.010931,0.010078,0.009555,0.009215,0.010573,0.009558,0.009465,0.009201,0.010356,0.009500,0.009033,0.008021,0.008566,0.008262,0.007798,0.007485,0.007313,0.007826,0.007427,0.006789,0.007301,0.007227,0.006323,0.006082,0.006152,0.005545,0.006111,0.005813,0.005682,0.005435,0.004563,0.004952,0.004489,0.003917,0.004245,0.003787,0.003319,0.003171,0.002772,0.002891,0.002529,0.002262,0.002089,0.001678,0.001645,0.001156,0.000914,0.000651,0.000424,0.016763
3000,0.019987,0.018856,0.019040,0.020478,0.019036,0.020287,0.019145,0.019273,0.018857,0.018676,0.019096,0.020369,0.019873,0.020478,0.021133,0.019245,0.019529,0.018442,0.018307,0.019814,0.018361,0.019744,0.018535,0.019150,0.019084,0.018023,0.018863,0.018471,0.018757,0.018669,0.017566,0.018272,0.017653,0.018479,0.017436,0.017568,0.017535,0.016585,0.016189,0.018349,0.016976,0.016905,0.015812,0.016510,0.015947,0.017210,0.017192,0.018091,0.015505,0.016034,0.019337,0.017961,0.013883,0.015370,0.015211,0.015738,0.014059,0.013961,0.012980,0.014120,0.013094,0.012399,0.012321,0.012945,0.014562,0.011874,0.012063,0.011146,0.011388,0.010481,0.009985,0.010492,0.010641,0.010369,0.009244,0.009684,0.009249,0.008877,0.008416,0.008228,0.009224,0.007448,0.007271,0.006268,0.005875,0.006418,0.005549,0.005594,0.004916,0.004895,0.004564,0.004076,0.003713,0.005593,0.003019,0.002704,0.002029,0.001562,0.001555,0.000861,0.000617,0.027570
3500,0.028528,0.027683,0.025556,0.027550,0.026830,0.025508,0.026280,0.025619,0.026269,0.025394,0.025745,0.026999,0.026468,0.025711,0.025347,0.026592,0.025725,0.024938,0.026190,0.028516,0.025015,0.027574,0.034573,0.027499,0.028604,0.026464,0.025724,0.026817,0.027738,0.025158,0.024529,0.024570,0.026330,0.025653,0.024597,0.024117,0.023653,0.024611,0.023669,0.024370,0.023468,0.023896,0.022934,0.023542,0.021857,0.022283,0.022093,0.021509,0.022088,0.021892,0.021354,0.020401,0.020388,0.019963,0.020557,0.024022,0.019733,0.019503,0.018803,0.018186,0.016515,0.017117,0.017715,0.016625,0.016105,0.015678,0.015301,0.015128,0.014044,0.014540,0.014796,0.013543,0.013422,0.014192,0.011960,0.011889,0.011325,0.012404,0.011525,0.010041,0.016605,0.009561,0.008974,0.008455,0.008205,0.009530,0.007891,0.008064,0.006203,0.006448,0.006137,0.004913,0.005094,0.003963,0.003541,0.003031,0.002753,0.002063,0.001559,0.001095,0.000747,0.036751
4000,0.035544,0.035589,0.035385,0.035179,0.033450,0.033620,0.035239,0.035521,0.033147,0.034712,0.034845,0.035356,0.034083,0.033508,0.033457,0.034326,0.035165,0.033020,0.034013,0.033837,0.032002,0.033281,0.033024,0.031682,0.033572,0.031251,0.034143,0.031540,0.033533,0.031608,0.031746,0.037142,0.034157,0.031046,0.030125,0.030559,0.029712,0.030069,0.028504,0.030177,0.030050,0.028088,0.028423,0.028201,0.028949,0.027953,0.026448,0.026139,0.025921,0.028255,0.025689,0.025792,0.026871,0.024333,0.024557,0.024895,0.023420,0.022656,0.023001,0.023207,0.021661,0.021209,0.021766,0.020644,0.021242,0.020763,0.021004,0.020967,0.019766,0.019804,0.019290,0.018741,0.018200,0.018202,0.016455,0.016182,0.014685,0.013883,0.013945,0.014553,0.012685,0.012161,0.012386,0.010981,0.012850,0.010741,0.009206,0.008686,0.009505,0.007527,0.007363,0.006431,0.005732,0.005683,0.005147,0.003902,0.003355,0.002648,0.002337,0.001345,0.000703,0.046662
4500,0.043053,0.047202,0.043296,0.043721,0.044612,0.043419,0.043831,0.042691,0.043843,0.043459,0.042926,0.042005,0.042865,0.042435,0.042855,0.043206,0.042583,0.043540,0.042472,0.044887,0.044280,0.041656,0.042686,0.042806,0.040189,0.044415,0.039812,0.041597,0.041152,0.040875,0.042237,0.039567,0.038248,0.039186,0.038683,0.037859,0.038841,0.036570,0.039086,0.037714,0.038061,0.037212,0.035914,0.037247,0.034162,0.034089,0.035149,0.035314,0.037006,0.033292,0.032502,0.032452,0.031217,0.032283,0.030446,0.029634,0.030225,0.030618,0.030293,0.029655,0.029006,0.028041,0.028805,0.027913,0.025610,0.027069,0.026593,0.024517,0.025471,0.023938,0.024300,0.044009,0.059682,0.038076,0.024351,0.020752,0.025307,0.047575,0.021202,0.024185,0.020459,0.016160,0.016029,0.014243,0.013839,0.013080,0.012923,0.011137,0.010791,0.010288,0.008855,0.007803,0.007282,0.006294,0.005961,0.004834,0.004047,0.003243,0.002433,0.001954,0.001009,0.060684
5000,0.056164,0.055399,0.053223,0.056347,0.058758,0.054188,0.052969,0.053218,0.061439,0.054826,0.052657,0.054429,0.053745,0.052207,0.056539,0.050769,0.050780,0.053080,0.053776,0.053011,0.053442,0.052853,0.052750,0.049107,0.050511,0.050480,0.050523,0.049350,0.050605,0.054438,0.052068,0.052810,0.051585,0.046972,0.048940,0.047168,0.049425,0.047492,0.045909,0.048223,0.046611,0.045454,0.044014,0.044464,0.043297,0.044175,0.041558,0.042411,0.041463,0.043081,0.041837,0.042673,0.038485,0.038422,0.039184,0.038427,0.036721,0.035850,0.037200,0.035848,0.037450,0.040546,0.037982,0.034810,0.031891,0.033401,0.031623,0.030898,0.029189,0.029477,0.028206,0.028404,0.025484,0.025868,0.024116,0.025374,0.022851,0.021632,0.022789,0.022451,0.020436,0.018394,0.018473,0.018005,0.015932,0.016705,0.014823,0.013384,0.013493,0.012758,0.011933,0.009929,0.009139,0.008088,0.007541,0.005856,0.005260,0.003896,0.003362,0.002226,0.000893,0.074170
5500,0.066024,0.065354,0.064567,0.064803,0.066924,0.066355,0.066885,0.063919,0.063624,0.063760,0.064697,0.065660,0.065548,0.064199,0.065186,0.066334,0.062981,0.063696,0.060868,0.060696,0.068324,0.064714,0.063729,0.062801,0.061670,0.061184,0.061768,0.063460,0.060222,0.062211,0.063494,0.057847,0.061060,0.059074,0.057988,0.056745,0.057763,0.066871,0.058549,0.055237,0.056277,0.052758,0.052418,0.053208,0.057537,0.053190,0.054433,0.051389,0.049127,0.048790,0.050472,0.047650,0.047755,0.049895,0.046554,0.046218,0.046783,0.046047,0.042524,0.043013,0.042610,0.041865,0.039915,0.039051,0.038381,0.037399,0.037785,0.035482,0.036920,0.035922,0.032912,0.034497,0.032707,0.030569,0.030466,0.029314,0.027838,0.026858,0.028291,0.024440,0.023448,0.023518,0.022662,0.021990,0.020569,0.019677,0.018479,0.016020,0.015079,0.014763,0.012784,0.012077,0.014701,0.010569,0.008482,0.006990,0.005735,0.005451,0.003916,0.002210,0.001040,0.084100
6000,0.077540,0.080659,0.081242,0.077001,0.076167,0.077648,0.076854,0.077165,0.077212,0.092898,0.081001,0.078368,0.077676,0.077198,0.076021,0.074978,0.077802,0.076397,0.076363,0.081022,0.082702,0.075827,0.075886,0.075489,0.070945,0.072019,0.071020,0.072996,0.071987,0.069556,0.071602,0.068974,0.071082,0.070368,0.067463,0.072634,0.066627,0.067967,0.069251,0.066188,0.068442,0.066645,0.064287,0.061483,0.061052,0.063602,0.062552,0.060506,0.059842,0.060910,0.058733,0.057453,0.057653,0.056574,0.053644,0.054552,0.053447,0.056626,0.052310,0.050891,0.050595,0.050562,0.047854,0.048082,0.062149,0.049207,0.042924,0.047502,0.042733,0.043811,0.039934,0.039203,0.036902,0.038297,0.035769,0.033888,0.033881,0.033255,0.033534,0.029184,0.028734,0.026977,0.025671,0.024689,0.025445,0.028303,0.021195,0.019960,0.020489,0.017651,0.017324,0.014258,0.013304,0.011804,0.010020,0.008538,0.006820,0.005426,0.004038,0.003040,0.001374,0.098585
6500,0.091064,0.097241,0.095005,0.092255,0.091329,0.092531,0.090428,0.092156,0.098746,0.093978,0.092426,0.092848,0.092057,0.089404,0.091508,0.090997,0.087703,0.087451,0.090307,0.086728,0.088103,0.097046,0.088107,0.089542,0.084139,0.086482,0.085242,0.086321,0.086530,0.081947,0.086251,0.080661,0.087887,0.083439,0.080579,0.080045,0.079609,0.080906,0.076602,0.077132,0.079180,0.077286,0.077887,0.075330,0.076608,0.073949,0.071125,0.073279,0.070854,0.070633,0.067974,0.068849,0.067397,0.069071,0.075489,0.062314,0.063529,0.063131,0.059461,0.059266,0.058345,0.061616,0.058877,0.056159,0.054925,0.053396,0.053241,0.049644,0.048932,0.062417,0.049034,0.046037,0.043682,0.042035,0.042165,0.041384,0.039902,0.038528,0.036516,0.035323,0.034142,0.033145,0.032953,0.031034,0.061310,0.039277,0.035517,0.024584,0.020944,0.019476,0.019236,0.017816,0.015715,0.014835,0.012624,0.010031,0.008533,0.007060,0.004685,0.003203,0.001232,0.119925
